zone,number
WEST 34 STREET,196
WEST 52 STREET,198
EAST 44 STREET,198
WEST 53 STREET,202
6 AVENUE,203
GRAND STREET,205
4 AVENUE,208
OCEAN AVENUE,209
MADISON AVENUE,224
7 AVENUE,224
GREENWICH STREET,238
BEDFORD AVENUE,240
PARK AVENUE,244
EAST 89 STREET,259
EAST 34 STREET,271
MYRTLE AVENUE,275
COLUMBUS AVENUE,276
LEXINGTON AVENUE,298
8 AVENUE,314
EAST 14 STREET,327
QUEENS BOULEVARD,328
FULTON STREET,352
WEST END AVENUE,386
5 AVENUE,390
2 AVENUE,436
1 AVENUE,452
MORGAN AVENUE,478
3 AVENUE,543
BROADWAY,1079
UNION TURNPIKE,1815
